"";"w";"p"
"32";1;47
"22";4;97
"4";5;105
"29";9;47
"1";10;55
"42";10;90
"44";12;31
"16";13;40
"37";14;82
"25";21;15
"18";22;81
"31";26;59
"49";27;37
"28";29;36
"27";33;104
"21";38;61
"39";41;54
"34";43;25
"12";45;48
"47";45;17
"15";46;87
"10";48;37
"24";48;93
"41";51;75
"50";55;61
"2";56;121
"6";56;145
"14";57;28
"20";58;72
"48";58;67
"13";59;28
"35";62;38
"33";63;40
"26";64;147
"8";66;23
"17";67;67
"3";68;167
"46";68;40
"19";70;152
"30";70;25
"43";73;39
"36";78;11
"38";79;141
"23";83;156
"11";85;134
"7";88;179
"5";92;77
"40";92;128
"9";95;74
"45";96;127
