"";"w";"p"
"42";15;9
"8";20;16
"36";34;30
"6";55;117
"27";58;28
"45";79;48
"39";105;81
"40";144;52
"15";151;193
"19";185;88
"20";192;232
"49";236;324
"28";260;185
"4";270;222
"34";288;323
"13";325;280
"24";327;375
"25";329;281
"32";339;301
"1";347;273
"33";355;418
"29";370;378
"44";373;428
"3";377;471
"22";421;371
"2";445;362
"47";506;491
"46";551;585
"50";573;538
"21";579;507
"31";611;700
"11";631;715
"26";639;720
"35";702;739
"17";708;698
"9";719;732
"12";740;834
"10";767;807
"37";799;716
"18";804;802
"7";825;852
"41";825;757
"14";871;840
"5";895;944
"30";910;931
"48";915;859
"38";940;1016
"43";945;894
"23";950;937
"16";986;955
