"";"w";"p"
"40";10;155
"20";11;45
"71";13;58
"93";17;896
"21";27;502
"35";31;338
"65";40;57
"8";43;461
"66";44;77
"27";52;853
"63";72;565
"91";94;96
"51";109;962
"38";122;273
"94";125;781
"72";137;139
"86";159;389
"47";160;981
"75";172;82
"43";186;558
"34";193;354
"100";219;903
"88";225;533
"53";248;915
"45";268;85
"52";268;802
"32";271;454
"98";279;243
"50";285;379
"9";294;321
"29";304;590
"82";305;353
"73";307;708
"22";321;95
"11";326;659
"28";330;420
"46";330;977
"54";333;857
"48";340;365
"83";349;153
"81";378;18
"60";383;462
"1";385;452
"26";387;225
"59";401;734
"95";402;225
"77";423;387
"89";435;883
"31";441;277
"79";448;259
"10";451;87
"16";453;911
"90";466;57
"41";496;919
"76";498;567
"56";504;602
"62";518;824
"78";521;701
"67";527;698
"97";561;743
"17";562;449
"36";581;804
"25";593;490
"92";601;486
"33";630;587
"68";632;671
"44";643;991
"70";652;263
"74";673;33
"2";674;305
"7";711;111
"19";723;681
"4";725;629
"42";737;503
"37";742;134
"57";745;722
"15";749;30
"14";751;550
"30";769;117
"49";772;349
"18";776;986
"58";783;138
"99";784;299
"69";796;75
"61";798;369
"55";799;313
"3";815;206
"84";816;397
"85";822;634
"80";829;55
"13";879;12
"39";889;69
"6";908;358
"5";921;984
"23";940;376
"96";966;838
"64";970;840
"24";980;85
"12";986;110
"87";997;146
