"";"w";"p"
"363";1;25
"392";1;60
"697";1;77
"848";1;66
"882";1;80
"35";2;77
"63";2;25
"120";2;63
"190";2;41
"555";2;71
"582";2;59
"597";2;45
"911";2;67
"921";2;52
"945";2;91
"953";2;26
"978";2;1
"340";3;84
"577";3;97
"835";3;34
"856";3;85
"938";3;32
"155";4;18
"249";4;47
"387";4;76
"509";4;37
"709";4;91
"711";4;74
"849";4;5
"954";4;13
"192";5;42
"208";5;47
"357";5;70
"413";5;15
"440";5;4
"570";5;79
"779";5;46
"810";5;53
"833";5;75
"23";6;81
"60";6;61
"106";6;33
"203";6;36
"456";6;92
"485";6;90
"534";6;83
"567";6;43
"573";6;76
"613";6;82
"618";6;61
"679";6;73
"753";6;34
"783";6;98
"951";6;77
"990";6;73
"128";7;74
"231";7;89
"283";7;17
"295";7;29
"575";7;26
"589";7;48
"642";7;94
"793";7;8
"825";7;81
"936";7;77
"180";8;79
"308";8;54
"341";8;10
"374";8;93
"426";8;95
"568";8;46
"686";8;43
"739";8;62
"788";8;84
"801";8;11
"820";8;80
"199";9;22
"248";9;38
"263";9;42
"272";9;52
"373";9;36
"429";9;75
"569";9;45
"622";9;97
"708";9;8
"845";9;96
"891";9;100
"924";9;44
"72";10;23
"152";10;19
"232";10;31
"239";10;9
"405";10;88
"452";10;14
"675";10;37
"809";10;85
"926";10;59
"962";10;71
"102";11;66
"111";11;93
"146";11;91
"328";11;75
"381";11;99
"499";11;24
"554";11;79
"626";11;18
"773";11;81
"791";11;27
"4";12;64
"92";12;93
"227";12;47
"288";12;3
"315";12;74
"403";12;88
"486";12;57
"503";12;28
"621";12;39
"923";12;72
"15";13;61
"121";13;66
"251";13;70
"511";13;69
"516";13;14
"583";13;81
"617";13;19
"830";13;21
"852";13;85
"899";13;35
"99";14;84
"159";14;9
"163";14;59
"323";14;66
"475";14;5
"614";14;31
"695";14;28
"969";14;9
"37";15;57
"88";15;40
"198";15;100
"218";15;24
"238";15;27
"564";15;9
"701";15;47
"752";15;75
"861";15;55
"968";15;63
"161";16;11
"221";16;9
"297";16;48
"367";16;52
"402";16;33
"415";16;90
"431";16;52
"605";16;51
"689";16;5
"870";16;75
"134";17;74
"329";17;67
"336";17;89
"484";17;47
"650";17;1
"778";17;16
"808";17;20
"941";17;69
"944";17;93
"82";18;64
"114";18;60
"359";18;67
"366";18;29
"417";18;93
"512";18;14
"537";18;98
"674";18;5
"756";18;61
"863";18;34
"946";18;24
"117";19;59
"265";19;36
"278";19;62
"380";19;16
"466";19;73
"483";19;36
"664";19;86
"678";19;96
"715";19;45
"800";19;98
"864";19;64
"879";19;51
"55";20;82
"337";20;29
"775";20;33
"805";20;100
"179";21;79
"233";21;34
"264";21;98
"478";21;16
"578";21;68
"606";21;8
"955";21;95
"130";22;82
"193";22;97
"416";22;70
"437";22;16
"453";22;92
"639";22;2
"680";22;13
"721";22;45
"722";22;63
"749";22;31
"760";22;71
"893";22;29
"927";22;94
"984";22;50
"66";23;97
"105";23;7
"112";23;35
"346";23;36
"455";23;12
"480";23;72
"669";23;84
"707";23;60
"781";23;67
"890";23;54
"14";24;88
"100";24;100
"140";24;85
"345";24;10
"430";24;32
"441";24;75
"521";24;76
"673";24;16
"724";24;37
"122";25;92
"124";25;38
"132";25;77
"294";25;15
"457";25;69
"732";25;33
"821";25;22
"974";25;86
"5";26;83
"110";26;86
"157";26;99
"168";26;68
"290";26;22
"312";26;23
"330";26;10
"389";26;59
"390";26;48
"438";26;6
"648";26;52
"751";26;94
"843";26;69
"957";26;68
"25";27;78
"181";27;54
"206";27;100
"365";27;25
"436";27;83
"873";27;77
"950";27;45
"999";27;100
"271";28;2
"296";28;71
"321";28;7
"684";28;24
"798";28;17
"867";28;5
"875";28;86
"885";28;78
"918";28;97
"991";28;57
"69";29;27
"594";29;96
"754";29;60
"777";29;77
"813";29;35
"332";30;61
"444";30;70
"593";30;10
"637";30;9
"802";30;13
"804";30;77
"817";30;33
"834";30;55
"840";30;18
"860";30;68
"78";31;27
"115";31;20
"319";31;15
"497";31;64
"540";31;10
"547";31;27
"551";31;78
"714";31;51
"734";31;86
"736";31;41
"806";31;58
"81";32;48
"86";32;56
"291";32;5
"349";32;64
"518";32;55
"587";32;19
"659";32;28
"706";32;1
"780";32;63
"869";32;98
"883";32;34
"888";32;29
"889";32;96
"915";32;30
"36";33;71
"52";33;17
"176";33;48
"394";33;68
"523";33;19
"584";33;45
"600";33;71
"661";33;90
"822";33;88
"898";33;22
"929";33;72
"30";34;51
"67";34;32
"119";34;97
"133";34;19
"154";34;84
"202";34;38
"259";34;41
"421";34;99
"467";34;33
"586";34;70
"64";35;99
"109";35;81
"167";35;72
"342";35;59
"498";35;49
"585";35;22
"660";35;35
"772";35;63
"913";35;38
"949";35;25
"961";35;95
"13";36;23
"34";36;81
"164";36;67
"170";36;16
"360";36;60
"361";36;56
"524";36;68
"535";36;45
"546";36;85
"579";36;22
"634";36;28
"647";36;99
"699";36;69
"796";36;91
"803";36;6
"841";36;30
"851";36;23
"966";36;45
"976";36;30
"982";36;78
"42";37;3
"201";37;92
"304";37;86
"316";37;16
"401";37;34
"423";37;83
"494";37;37
"506";37;38
"687";37;24
"731";37;68
"741";37;6
"807";37;77
"857";37;95
"871";37;73
"909";37;6
"948";37;47
"80";38;58
"410";38;3
"463";38;98
"505";38;33
"591";38;64
"747";38;80
"919";38;66
"40";39;14
"57";39;100
"188";39;16
"282";39;70
"302";39;57
"434";39;13
"658";39;55
"665";39;89
"676";39;93
"688";39;14
"703";39;95
"735";39;85
"859";39;67
"894";39;42
"31";40;66
"53";40;84
"354";40;18
"407";40;97
"598";40;78
"683";40;15
"942";40;89
"29";41;91
"141";41;15
"149";41;100
"217";41;15
"253";41;100
"256";41;1
"301";41;51
"395";41;40
"492";41;58
"590";41;40
"599";41;45
"819";41;18
"932";41;29
"2";42;53
"21";42;78
"94";42;75
"131";42;52
"550";42;23
"596";42;65
"812";42;37
"818";42;32
"827";42;74
"831";42;18
"223";43;97
"242";43;82
"356";43;80
"553";43;13
"768";43;49
"995";43;20
"84";44;24
"143";44;83
"277";44;29
"292";44;36
"428";44;4
"507";44;3
"627";44;20
"700";44;53
"853";44;42
"939";44;18
"118";45;49
"322";45;79
"451";45;35
"479";45;12
"815";45;6
"958";45;87
"28";46;28
"195";46;8
"236";46;93
"250";46;86
"347";46;62
"414";46;31
"508";46;32
"601";46;55
"677";46;50
"917";46;40
"191";47;69
"230";47;57
"240";47;34
"257";47;28
"273";47;68
"281";47;67
"482";47;24
"520";47;23
"881";47;75
"940";47;96
"139";48;17
"212";48;12
"310";48;52
"510";48;80
"635";48;26
"745";48;29
"862";48;4
"886";48;92
"113";49;55
"137";49;97
"145";49;61
"150";49;2
"158";49;56
"205";49;5
"228";49;38
"472";49;71
"488";49;28
"632";49;46
"786";49;13
"916";49;24
"992";49;70
"26";50;17
"376";50;45
"384";50;91
"412";50;39
"458";50;32
"493";50;94
"651";50;72
"717";50;10
"723";50;13
"3";51;96
"17";51;43
"68";51;9
"274";51;67
"406";51;16
"542";51;8
"729";51;21
"733";51;49
"737";51;25
"24";52;97
"44";52;18
"196";52;97
"216";52;92
"317";52;84
"324";52;25
"418";52;41
"468";52;60
"514";52;43
"541";52;38
"603";52;13
"655";52;29
"787";52;11
"906";52;3
"933";52;57
"174";53;63
"411";53;19
"427";53;42
"448";53;79
"536";53;59
"539";53;72
"743";53;71
"770";53;28
"20";54;4
"73";54;63
"129";54;62
"184";54;28
"241";54;78
"309";54;33
"311";54;84
"318";54;35
"338";54;58
"588";54;74
"704";54;72
"126";55;49
"183";55;9
"246";55;42
"268";55;40
"668";55;57
"702";55;39
"720";55;50
