"";"w";"p"
"2";15;408
"11";23;729
"29";45;694
"43";55;271
"50";112;548
"45";126;419
"31";148;755
"5";164;230
"22";186;583
"25";205;515
"9";209;86
"13";216;61
"37";249;965
"40";251;303
"24";266;792
"41";272;653
"48";281;824
"10";290;921
"36";322;635
"14";355;561
"8";360;364
"38";370;513
"4";404;511
"19";452;232
"7";498;224
"12";500;232
"49";581;648
"6";583;76
"33";630;916
"47";649;731
"35";666;198
"17";682;526
"46";770;326
"23";772;4
"26";793;853
"42";793;647
"34";807;680
"18";830;438
"3";838;11
"30";840;75
"15";863;717
"21";864;595
"32";864;467
"16";876;742
"28";878;859
"44";893;600
"27";898;626
"39";911;612
"20";941;954
"1";969;913
