"";"w";"p"
"241";1;97
"270";1;92
"545";1;66
"620";1;59
"650";1;41
"675";1;20
"696";1;50
"701";1;91
"889";1;58
"924";1;12
"1211";1;36
"1253";1;31
"1272";1;18
"1351";1;42
"1371";1;12
"1655";1;91
"1778";1;90
"1860";1;37
"2170";1;38
"2176";1;3
"2223";1;60
"2259";1;79
"2347";1;55
"2350";1;11
"2673";1;88
"2723";1;59
"2801";1;8
"2976";1;48
"3165";1;41
"3172";1;61
"3275";1;33
"3461";1;94
"3507";1;43
"3530";1;4
"3588";1;1
"3626";1;51
"3747";1;27
"3886";1;20
"3904";1;46
"3911";1;100
"4023";1;63
"4033";1;35
"4120";1;67
"4122";1;30
"4188";1;33
"4243";1;16
"4264";1;9
"4314";1;43
"4403";1;88
"4452";1;52
"4562";1;100
"4593";1;24
"4778";1;15
"4807";1;12
"263";2;19
"316";2;63
"395";2;90
"407";2;28
"514";2;59
"528";2;76
"728";2;64
"736";2;37
"747";2;17
"788";2;45
"922";2;95
"950";2;89
"980";2;39
"1152";2;68
"1185";2;82
"1223";2;70
"1248";2;47
"1279";2;25
"1340";2;9
"1503";2;23
"1590";2;61
"1608";2;77
"1842";2;15
"2046";2;27
"2254";2;92
"2368";2;64
"2509";2;99
"2652";2;55
"2707";2;95
"2839";2;39
"2909";2;74
"2943";2;42
"2951";2;35
"3069";2;86
"3191";2;44
"3460";2;46
"3940";2;100
"3987";2;44
"3991";2;49
"3995";2;69
"4008";2;22
"4107";2;52
"4190";2;77
"4257";2;98
"4310";2;12
"4520";2;15
"4529";2;82
"4673";2;14
"4754";2;99
"4805";2;80
"4852";2;47
"4983";2;83
"192";3;70
"267";3;9
"286";3;82
"358";3;5
"519";3;83
"635";3;92
"737";3;73
"1051";3;1
"1125";3;84
"1267";3;92
"1562";3;63
"1731";3;47
"1737";3;1
"1811";3;88
"1872";3;69
"1961";3;26
"1964";3;17
"2014";3;69
"2017";3;83
"2190";3;99
"2307";3;89
"2391";3;94
"2535";3;2
"2551";3;83
"2591";3;64
"2792";3;73
"2793";3;75
"2886";3;91
"3057";3;93
"3073";3;74
"3221";3;19
"3227";3;52
"3231";3;66
"3432";3;86
"3436";3;10
"3437";3;25
"3630";3;57
"3847";3;27
"3908";3;10
"4144";3;64
"4170";3;99
"4187";3;60
"4191";3;74
"4507";3;80
"4581";3;43
"4677";3;32
"4691";3;83
