"";"w";"p"
"1749";1;46
"2202";1;56
"3027";1;30
"3589";1;2
"3938";1;52
"4827";1;63
"3297";2;86
"3608";2;19
"3857";2;74
"3942";2;97
"4946";2;33
"4971";2;37
"2347";3;3
"3707";3;15
"4270";3;6
"4648";3;96
"2918";4;44
"3368";4;52
"3377";4;60
"4709";4;78
"749";5;58
"1481";5;14
"2473";5;82
"2552";5;32
"2922";5;71
"4737";5;40
"73";6;55
"1289";6;18
"1465";6;33
"1890";6;37
"2611";6;6
"2957";6;29
"2959";6;86
"3240";6;85
"4824";6;7
"1528";7;46
"4743";7;81
"674";8;17
"1407";8;30
"1434";8;64
"1998";9;89
"2435";9;109
"2699";9;89
"2837";9;76
"3866";9;5
"4317";9;53
"927";10;56
"3092";10;71
"4138";10;76
"327";11;21
"1018";11;28
"2594";11;57
"3634";11;71
"4473";11;59
"631";12;24
"1609";12;92
"1808";12;65
"2057";12;55
"2293";12;28
"3409";12;66
"3746";12;32
"3887";12;72
"4400";12;28
"4795";12;85
"4911";12;47
"3761";13;5
"4542";13;35
"364";14;88
"1088";14;51
"2289";14;66
"2824";14;31
"2950";14;49
"4500";14;33
"1366";15;55
"1801";15;105
"2716";15;93
"4440";15;69
"3585";16;41
"2139";17;75
"2907";17;66
"3424";17;33
"52";18;27
"178";18;32
"695";18;36
"775";18;53
"1953";18;20
"4858";18;69
"595";19;43
"1415";19;90
"2563";19;16
"3110";19;92
"3542";19;4
"4347";19;39
"1443";20;92
"2314";20;44
"2771";20;12
"3119";20;43
"3133";20;31
"3673";20;69
"4114";20;57
"4657";20;14
"1411";21;27
"2660";21;88
"2791";21;21
"2956";21;4
"3225";21;1
"3681";21;13
"4210";21;54
"4672";21;54
"2026";22;69
"192";23;71
"1328";23;85
"1362";23;62
"3929";23;117
"3029";24;16
"4799";24;108
"339";25;71
"2706";25;79
"3231";25;14
"3604";25;36
"3662";25;12
"4808";25;77
"4855";25;83
"620";26;57
"4304";26;27
"190";27;52
"819";27;27
"839";27;68
"1968";27;25
"2612";27;2
"4362";27;4
"4641";27;69
"615";28;83
"1467";28;24
"2469";28;67
"3876";28;73
"4450";28;33
"259";29;1
"678";29;30
"2034";29;104
"2102";29;69
"788";30;73
"907";30;78
"1341";30;66
"1672";30;107
"3305";30;93
"4895";30;127
"1732";31;12
"2711";31;66
"3132";31;3
"676";32;27
"773";32;3
"1283";32;118
"1436";32;120
"1689";32;28
"1907";32;63
"2413";32;85
"3364";32;121
"4503";32;113
"4565";32;132
"812";33;44
"1239";33;4
"3262";33;120
"3280";33;99
"3334";33;21
"3629";33;57
"4067";33;46
"420";34;130
"1799";34;40
"2442";34;5
"3016";34;101
"3975";34;40
"4585";34;1
"4877";34;4
"4904";34;116
"361";35;59
"2000";35;28
"2309";35;64
"4645";35;22
"4683";35;6
"138";36;3
"2470";36;82
"3809";36;60
"4509";36;100
"4880";36;78
"162";37;95
"596";37;93
"3554";37;27
"206";38;62
"231";38;131
"1165";38;99
"2600";38;102
"3806";38;27
"1682";39;117
"2189";39;121
"2377";39;42
"2804";39;77
"3902";39;5
"4068";39;76
"1158";40;95
"894";41;25
"914";41;27
"997";41;134
"2692";41;107
"4999";41;40
"125";42;80
"1212";42;62
"2235";42;99
"2636";42;85
"3379";42;115
"3515";42;104
"3692";42;41
"4314";42;30
"4327";42;129
"1215";43;96
"2119";43;93
"2257";43;118
"2475";43;108
"576";44;69
"1365";44;128
"1666";44;49
"2044";44;67
"2578";44;76
"2658";44;123
"2750";44;13
"3485";44;107
"3863";44;111
"69";45;118
"1090";45;125
"2916";45;3
"4755";45;11
