"";"w";"p"
"186";8;77
"965";8;391
"658";9;845
"773";11;493
"319";13;771
"338";14;330
"766";14;166
"679";16;975
"502";17;429
"879";17;679
"470";18;822
"45";19;3
"914";21;740
"35";23;999
"706";23;469
"815";24;833
"217";25;155
"250";25;466
"691";27;90
"324";28;793
"570";29;425
"631";30;397
"536";31;386
"148";32;888
"869";32;619
"952";32;357
"561";33;632
"718";33;292
"956";33;996
"585";35;459
"612";37;942
"920";38;799
"236";40;231
"768";40;657
"858";40;951
"390";41;915
"15";43;900
"834";44;529
"476";46;776
"712";46;752
"397";48;234
"804";48;230
"81";50;580
"889";50;979
"982";50;275
"517";51;86
"760";51;543
"991";51;931
"530";52;105
"759";54;740
"442";56;656
"587";57;209
"687";57;489
"721";59;938
"785";59;341
"842";59;649
"60";60;18
"588";60;216
"823";60;523
"159";63;937
"595";63;611
"625";63;350
"778";64;219
"850";64;86
"556";65;71
"862";65;24
"128";66;748
"191";66;215
"589";67;839
"487";68;533
"240";69;502
"462";71;943
"555";71;476
"803";71;10
"975";71;225
"20";73;732
"707";74;301
"710";74;981
"224";75;141
"667";76;563
"717";76;574
"315";77;201
"337";77;759
"692";77;213
"709";77;645
"147";78;116
"356";78;636
"605";78;421
"729";79;792
"897";79;183
"533";81;275
"205";82;413
"19";83;78
"448";84;561
"967";84;269
"746";85;714
"260";86;116
"9";87;801
"12";88;62
"404";88;424
"83";89;768
"158";89;530
"393";89;453
"443";89;383
"239";92;163
"146";93;154
"498";94;243
"145";96;467
"906";96;748
"690";97;915
"947";97;878
"11";100;12
"363";100;358
"932";102;696
"540";103;667
"831";104;88
"80";106;951
"94";106;76
"431";109;596
"619";109;708
"702";110;352
"922";110;99
"616";111;17
"649";111;796
"376";112;388
"501";112;810
"332";114;705
"840";114;472
"890";115;404
"321";117;154
"308";118;712
"479";119;747
"592";120;835
"75";121;937
"124";121;513
"496";121;555
"8";123;360
"829";123;435
"192";125;821
"892";126;758
"161";127;187
"227";127;199
"208";128;126
"396";128;552
"484";129;365
"586";129;433
"434";130;848
"915";130;42
"24";132;164
"458";132;131
"811";132;981
"916";132;482
"520";134;404
"473";141;735
"28";142;384
"66";142;162
"296";142;757
"627";143;736
"93";145;729
"181";148;333
"253";149;769
"326";149;214
"115";155;666
"416";156;150
"405";157;894
"602";157;748
"436";158;648
"582";158;700
"313";159;522
"518";159;686
"467";161;358
"10";162;529
"311";162;89
"857";163;441
"127";165;545
"769";167;436
"254";170;329
"22";172;726
"349";173;492
"79";174;305
"259";175;898
"546";175;578
"799";175;63
"562";177;304
"654";177;517
"668";179;476
"568";181;698
"826";181;515
"966";184;384
"528";185;325
"900";185;475
"14";186;225
"557";186;688
"618";186;587
"779";187;758
"782";187;207
"942";188;120
"859";189;59
"851";190;573
"63";192;636
"722";192;250
"953";193;618
"747";194;447
"348";196;519
"930";196;321
"29";197;349
"380";198;958
"671";198;60
"938";198;505
"465";199;621
"647";199;13
"281";202;658
"734";203;185
"524";204;15
"860";204;103
"979";204;572
"62";205;282
"209";205;60
"302";206;231
"632";206;909
"523";209;270
"18";210;510
"929";211;218
"970";211;616
"812";212;976
"613";216;665
"460";217;75
"816";219;955
"758";221;158
"304";223;504
"480";224;360
"917";224;183
"90";225;867
"95";225;611
"899";225;412
"284";226;864
"412";226;247
"791";226;227
"25";227;8
"870";227;153
"30";228;938
"644";228;250
"802";228;315
"388";229;525
"44";231;779
"305";233;492
"285";235;645
"279";236;130
"954";236;113
"854";237;371
"298";239;221
"369";241;208
"485";241;833
"118";242;621
"809";242;562
"738";244;696
"38";245;386
"47";245;564
"742";245;520
"299";247;610
"31";249;270
"780";249;111
"563";251;98
"103";252;569
"452";253;663
"312";254;670
"567";254;872
"902";254;38
"550";256;757
"505";257;488
"303";258;349
"88";260;729
"357";262;364
"441";262;168
"511";262;84
"682";263;546
"77";265;947
"615";265;394
"455";268;210
"68";269;948
"157";269;803
"360";269;555
"751";270;223
"891";274;376
"112";276;196
"73";277;271
"87";277;327
"310";277;148
"57";279;55
"207";280;187
"490";280;392
"629";281;82
"199";283;792
"170";285;946
"367";287;65
"777";287;653
"659";289;236
"451";293;664
"549";296;624
"56";297;12
"515";298;778
"648";298;942
"909";299;311
"382";300;91
"59";303;598
"133";304;188
"912";304;971
"410";307;843
"881";307;864
"787";308;861
"800";308;532
"454";309;475
"541";309;273
"715";311;424
"271";313;264
"656";313;602
"385";314;658
"422";314;166
"995";314;231
"72";315;36
"399";315;992
"591";315;368
"639";315;726
"543";316;773
"42";318;851
"160";318;858
"371";318;268
"438";318;841
"245";319;961
"558";319;742
"918";320;896
"92";321;706
"727";322;401
"383";324;53
"345";325;621
"795";325;747
"553";327;962
"403";328;940
"697";328;766
"117";330;753
"545";330;209
"76";331;548
"113";333;459
"322";336;448
"336";336;205
"174";337;249
"129";338;131
"244";339;632
"198";340;61
"286";341;988
"293";341;190
"598";341;741
"978";343;969
"180";344;206
"206";344;205
"372";344;559
"267";345;138
"49";348;506
"151";348;158
"911";350;423
"593";351;95
"797";351;600
"559";353;33
"1000";354;162
"848";355;539
"278";356;261
"123";359;860
"229";360;947
"325";360;950
"836";361;625
"418";362;198
"819";362;736
"661";363;254
"39";364;660
"361";364;233
"340";365;581
"643";365;571
"425";367;489
"489";367;982
"959";367;129
"670";368;325
"611";369;531
"652";370;72
"736";370;681
"564";371;516
"469";372;805
"535";372;510
"753";375;306
"105";376;489
"931";377;230
"547";381;734
"574";382;119
"641";382;897
"461";383;923
"55";384;887
"723";384;368
"389";388;173
"96";389;780
"997";389;644
"179";391;226
"635";391;882
"910";392;216
"135";393;803
"140";394;499
"222";396;174
"754";396;722
"805";397;847
"52";399;310
"230";401;320
"182";402;71
"665";402;614
"996";403;420
"121";405;61
"262";407;273
"270";407;616
"733";407;185
"243";408;424
"373";409;33
"407";409;217
"450";410;849
"985";410;749
"732";411;359
"351";412;464
"672";412;319
"309";413;173
"392";413;273
"893";413;815
"935";414;776
"375";415;61
"268";416;957
"560";416;616
"878";419;360
"757";420;153
"156";422;362
"694";422;914
"201";423;929
"509";423;569
"510";423;891
"835";423;235
"628";424;851
"677";424;341
"272";429;952
"362";429;299
"928";430;982
"350";431;688
"584";431;858
"737";431;281
"886";431;574
"27";435;599
"5";437;620
"688";438;840
"614";439;5
"504";440;381
"626";441;397
"457";442;960
"171";443;972
"386";443;446
"554";443;40
"572";444;948
"294";445;670
"539";448;340
"106";449;895
"447";449;644
"948";449;108
"165";450;192
"622";450;441
"637";450;998
"445";452;695
"468";453;854
"264";455;896
"544";456;547
"745";456;307
"406";457;369
"808";458;800
"409";459;237
"695";464;239
"960";467;720
"216";469;473
"249";469;625
"353";470;911
"621";470;106
"102";472;912
"256";472;776
"499";472;515
"868";472;346
"327";475;240
"669";476;156
"242";478;492
"246";479;596
"646";479;687
"194";480;656
"176";481;465
"365";481;588
"48";484;409
"339";484;670
"474";485;815
"693";485;133
"126";488;700
"853";488;545
"640";491;749
"214";492;403
"884";492;699
"740";493;844
"481";494;102
"861";494;525
"400";496;903
"475";496;535
"700";497;770
"704";497;651
"789";497;155
"876";497;724
"601";499;673
"347";500;610
"651";500;218
"968";500;42
"638";501;282
"849";501;928
"874";504;269
"36";505;778
"58";505;863
"290";506;596
"343";507;675
"756";507;809
"941";508;705
"359";509;226
"411";511;218
"276";512;273
"513";513;971
"837";515;133
"241";518;232
"566";518;281
"4";519;341
"565";519;523
"516";521;966
"609";522;786
"155";523;30
"21";524;695
"998";524;700
"681";526;42
"724";526;985
"221";527;700
"430";529;615
"500";529;219
"346";533;724
"895";533;894
"653";535;373
"818";536;337
"419";537;999
"701";537;237
"977";537;549
"989";537;74
"273";538;223
"512";538;425
"610";538;116
"863";539;622
"608";540;998
"650";540;573
"821";541;70
"235";543;728
"427";545;343
"514";545;274
"663";545;381
"689";545;260
"98";546;710
"226";546;226
"630";546;985
"887";548;709
"781";549;67
"16";550;313
"838";552;812
"583";553;900
"413";554;835
"824";554;278
"355";555;561
"177";556;68
"301";556;818
"749";557;523
"832";557;997
"173";558;375
"472";558;618
"988";558;755
"335";559;465
"934";561;74
"961";564;106
"323";566;329
"387";568;119
"577";568;26
"415";569;621
"698";569;724
"314";570;285
"678";570;944
"908";571;861
"696";573;520
"743";575;399
"318";577;102
"100";578;63
"576";580;412
"195";582;202
"384";582;929
"414";583;365
"521";584;661
"764";585;467
"330";586;9
"763";586;547
"141";587;289
"289";587;637
"833";588;272
"526";591;709
"85";592;500
"231";593;982
"686";594;574
"352";595;951
"456";597;471
"255";598;563
"40";599;981
"137";600;548
"817";601;548
"204";603;344
"786";604;259
"976";606;603
"883";607;44
"364";610;414
"172";611;908
"163";613;996
"590";614;554
"463";616;704
"54";617;876
"936";617;397
"993";618;695
"486";621;383
"169";622;105
"580";622;559
"3";623;167
"149";623;339
"810";623;341
"275";625;671
"843";625;29
"726";626;280
"432";627;508
"6";629;384
"183";630;165
"488";630;744
"880";630;725
"984";630;804
"223";632;415
"855";632;360
"796";633;456
"492";634;653
"642";634;142
"872";634;838
"116";637;187
"882";637;759
"104";638;720
"263";639;743
"904";639;366
"633";642;304
"143";643;643
"552";643;14
"856";643;405
"213";647;934
"739";648;821
"134";649;452
"655";649;706
"417";650;256
"957";650;5
"53";651;756
"986";651;573
"770";654;155
"139";655;378
"532";657;16
"875";657;235
"69";658;307
"41";659;710
"548";659;509
"391";660;750
"334";661;731
"200";663;246
"926";664;422
"542";665;283
"898";665;993
"251";666;301
"433";667;996
"522";667;516
"794";667;814
"903";668;621
"680";669;374
"798";671;964
"7";672;779
"519";674;719
"971";674;938
"828";675;438
"596";677;142
"946";677;631
"258";678;377
"913";678;886
"65";679;719
"110";679;669
"446";680;278
"184";685;999
"190";685;650
"136";686;893
"398";686;331
"972";686;896
"152";689;126
"203";689;492
"845";689;787
"120";690;532
"331";690;122
"401";692;575
"237";694;197
"951";695;999
"940";696;153
"283";697;444
"292";698;245
"317";698;475
"748";698;680
"877";701;859
"762";702;895
"101";703;945
"933";704;666
"538";705;398
"864";705;336
"328";706;955
"424";706;272
"187";707;465
"994";707;811
"573";708;680
"164";709;607
"274";709;325
"531";710;34
"210";712;561
"74";714;54
"636";714;207
"575";715;239
"33";716;750
"987";717;716
"493";718;966
"607";718;93
"17";719;680
"265";719;515
"767";720;321
"714";721;987
"423";726;2
"885";726;389
"420";727;784
"86";728;632
"673";728;62
"950";728;177
"196";729;624
"358";729;526
"943";730;704
"119";731;448
"466";733;97
"674";733;684
"728";736;814
"841";737;655
"969";737;461
"91";738;532
"719";738;750
"761";738;642
"981";738;502
"569";740;467
"919";743;200
"775";745;475
"439";746;719
"225";748;393
"814";748;340
"429";749;904
"142";751;741
"752";753;671
"783";753;906
"865";753;692
"89";755;65
"212";755;320
"699";755;753
"46";757;603
"497";758;93
"571";761;338
"604";766;200
"495";767;377
"316";768;794
"366";773;571
"750";774;878
"261";775;679
"623";778;616
"97";780;563
"478";780;234
"291";781;181
"464";782;337
"238";787;970
"579";787;557
"603";787;299
"730";791;644
"297";792;434
"150";793;416
"867";793;38
"421";794;93
"945";795;29
"741";796;948
"784";799;256
"888";799;415
"927";799;717
"306";800;583
"344";802;183
"130";803;580
"175";803;801
"716";803;421
"219";804;339
"765";808;380
"440";810;135
"813";810;604
"807";812;460
"166";813;761
"368";817;323
"51";820;927
"529";822;279
"32";824;894
"70";824;748
"202";825;345
"822";825;800
"26";826;117
"193";826;837
"333";826;281
"471";826;28
"725";826;847
"974";826;51
"43";827;696
"806";827;246
"84";829;815
"645";833;530
"830";833;461
"402";837;10
"527";837;446
"894";837;511
"788";838;673
"131";839;166
"508";839;529
"482";840;166
"599";840;320
"132";841;542
"111";842;779
"114";842;624
"408";842;54
"374";843;242
"234";844;125
"23";847;547
"921";847;965
"990";847;823
"551";849;96
"755";850;149
"597";852;696
"662";852;368
"2";853;53
"125";855;71
"634";855;100
"774";857;167
"683";861;77
"955";862;237
"71";864;555
"772";864;683
"228";865;454
"866";865;193
"944";868;102
"744";870;85
"266";871;23
"395";871;178
"444";873;819
"703";873;272
"924";875;130
"178";879;798
"437";879;638
"708";879;638
"720";879;957
"980";879;557
"64";880;728
"108";880;212
"252";881;85
"477";882;992
"67";885;755
"790";886;263
"428";887;997
"776";887;175
"771";888;814
"964";889;672
"13";890;954
"949";890;227
"963";890;23
"939";892;236
"248";894;814
"307";897;951
"973";897;249
"154";900;57
"617";900;267
"871";900;168
"958";900;883
"247";901;567
"394";902;779
"907";903;481
"354";906;225
"381";907;234
"600";908;935
"377";911;407
"453";912;11
"378";913;358
"937";915;978
"78";921;680
"847";921;182
"188";922;246
"280";922;310
"684";922;466
"735";922;571
"846";923;926
"288";925;280
"992";927;909
"983";928;272
"300";929;311
"660";932;172
"370";933;460
"711";933;722
"494";935;345
"844";935;348
"189";936;688
"1";937;533
"61";938;770
"269";938;699
"109";939;607
"491";939;991
"820";941;477
"295";942;754
"827";942;188
"905";942;22
"320";943;232
"606";943;560
"233";944;951
"507";944;749
"675";944;877
"713";945;381
"801";945;74
"825";947;532
"594";948;572
"215";949;175
"792";949;19
"329";950;333
"257";951;455
"426";952;361
"620";953;910
"664";956;507
"923";959;584
"122";960;114
"379";960;999
"483";960;885
"107";962;121
"578";965;396
"624";966;369
"153";967;967
"211";967;485
"731";968;586
"232";970;164
"534";972;676
"873";973;7
"37";974;20
"839";974;193
"138";975;628
"503";977;198
"34";980;422
"167";980;402
"282";980;468
"342";980;171
"459";981;25
"581";982;713
"666";983;796
"685";984;803
"525";986;66
"705";986;29
"99";987;274
"537";987;572
"144";988;411
"657";988;663
"896";988;320
"962";988;838
"999";989;204
"197";990;778
"185";991;934
"220";991;251
"50";992;382
"449";993;190
"82";994;551
"506";994;929
"793";994;837
"162";996;214
"277";996;301
"925";996;857
"287";998;51
"341";998;56
"852";999;1000
"168";1000;364
"218";1000;322
"435";1000;991
"676";1000;652
"901";1000;351
