"";"w";"p"
"1";1;31
"5";1;18
"8";1;46
"21";1;43
"22";1;15
"25";1;21
"26";1;56
"42";1;2
"13";2;65
"28";2;12
"31";2;16
"37";2;33
"46";2;76
"12";3;10
"14";3;17
"20";3;20
"30";3;27
"9";4;25
"11";4;40
"50";4;67
"3";5;6
"39";5;41
"43";5;57
"45";5;103
"48";5;47
"49";5;8
"7";6;79
"10";6;29
"17";6;13
"29";6;1
"34";6;80
"35";6;79
"41";6;93
"16";7;25
"24";7;19
"27";7;35
"6";8;28
"18";8;8
"19";8;92
"23";8;56
"36";8;54
"38";8;34
"40";8;25
"47";8;31
"4";9;7
"15";9;53
"32";9;4
"2";10;23
"33";10;79
"44";10;103
