"";"w";"p"
"7";1;10
"21";1;2
"27";1;4
"50";1;8
"51";1;7
"57";1;6
"74";1;1
"77";1;1
"80";1;5
"86";1;5
"8";2;9
"18";2;8
"43";2;10
"61";2;6
"76";2;6
"81";2;3
"85";2;6
"92";2;2
"4";3;4
"15";3;5
"16";3;4
"22";3;7
"32";3;8
"67";3;6
"75";3;6
"87";3;4
"11";4;6
"34";4;9
"39";4;7
"46";4;4
"48";4;7
"56";4;8
"60";4;7
"63";4;1
"88";4;4
"91";4;8
"93";4;5
"41";5;7
"70";5;3
"79";5;5
"96";5;5
"19";6;1
"26";6;5
"37";6;6
"44";6;2
"58";6;9
"69";6;8
"71";6;7
"83";6;5
"84";6;2
"94";6;2
"1";7;5
"9";7;8
"14";7;7
"28";7;8
"31";7;6
"38";7;6
"72";7;9
"89";7;10
"90";7;1
"98";7;1
"2";8;6
"5";8;5
"12";8;9
"20";8;1
"23";8;3
"25";8;4
"29";8;5
"33";8;5
"40";8;10
"49";8;10
"54";8;6
"64";8;10
"65";8;10
"68";8;1
"82";8;2
"99";8;7
"100";8;2
"3";9;6
"13";9;1
"24";9;4
"30";9;5
"35";9;1
"42";9;9
"47";9;8
"55";9;4
"59";9;8
"66";9;6
"95";9;5
"97";9;10
"6";10;10
"10";10;4
"17";10;1
"36";10;4
"45";10;5
"52";10;3
"53";10;6
"62";10;8
"73";10;8
"78";10;1
