"";"w";"p"
"458";2;34
"101";4;41
"470";4;71
"47";7;75
"344";8;21
"494";9;65
"703";9;35
"111";11;54
"144";11;7
"622";14;109
"206";15;33
"999";15;80
"40";21;73
"428";21;46
"334";23;67
"580";23;33
"241";24;31
"818";24;63
"838";24;104
"292";26;11
"126";27;88
"199";28;73
"411";28;33
"772";29;60
"15";30;83
"624";30;41
"250";32;20
"204";34;17
"227";35;24
"283";36;2
"380";36;136
"702";38;19
"261";39;2
"709";39;35
"878";40;88
"532";42;83
"671";43;76
"198";44;32
"871";44;53
"929";44;119
"683";45;70
"359";46;15
"75";47;12
"757";50;40
"298";52;147
"828";53;44
"281";54;17
"305";56;146
"908";56;17
"913";57;27
"669";58;96
"366";60;77
"310";61;96
"601";61;4
"711";61;55
"38";63;25
"516";68;28
"961";68;107
"966";72;60
"949";73;9
"237";78;135
"524";81;15
"947";81;4
"841";84;90
"619";87;173
"979";88;89
"558";91;25
"865";91;143
"190";92;86
"2";94;101
"184";94;27
"581";94;53
"915";94;169
"22";95;162
"443";95;43
"705";96;22
"712";96;184
"153";97;180
"257";98;164
"189";99;88
"861";99;168
"918";101;70
"777";104;36
"977";105;73
"169";106;22
"623";107;21
"649";109;191
"98";110;166
"84";113;101
"612";113;18
"991";113;55
"45";115;113
"742";115;179
"665";116;129
"954";116;48
"376";117;95
"925";119;121
"760";121;60
"754";122;63
"793";123;198
"326";124;140
"920";124;36
"68";125;81
"950";125;112
"234";126;112
"251";126;148
"304";127;126
"769";127;30
"875";127;85
"141";128;169
"143";129;67
"166";129;101
"213";130;226
"243";130;143
"686";132;51
"969";132;84
"555";136;149
"197";138;233
"54";141;90
"264";143;172
"426";144;60
"466";144;58
"980";145;204
"195";146;237
"21";147;74
"843";147;214
"216";148;226
"972";149;62
"321";151;86
"142";152;84
"476";153;149
"135";154;153
"272";154;54
"654";154;97
"460";156;153
"641";159;59
"692";159;232
"773";160;199
"78";162;95
"286";162;204
"132";165;139
"318";166;166
"425";167;263
"70";171;192
"468";171;117
"753";171;111
"437";172;130
"628";172;263
"660";172;180
"145";174;269
"955";174;272
"782";175;84
"637";176;134
"39";177;273
"46";177;142
"89";181;120
"673";183;191
"704";183;168
"819";183;113
"614";186;98
"620";186;212
"939";186;285
"55";187;100
"708";187;281
"812";187;224
"34";189;141
"196";192;244
"405";193;152
"658";194;212
"696";195;111
"449";196;96
"745";197;250
"290";198;288
"540";199;231
"992";200;201
"420";205;304
"783";205;251
"906";205;227
"20";208;258
"453";208;267
"909";208;214
"266";210;221
"562";210;308
"749";216;180
"910";216;168
"106";220;269
"520";220;214
"493";221;129
"355";222;214
"49";226;165
"288";227;272
"391";227;217
"571";227;161
"134";228;136
"312";228;152
"825";228;299
"358";231;220
"590";231;195
"835";236;323
"33";238;298
"657";240;333
"892";240;189
"67";241;215
"217";241;146
"462";241;247
"91";242;243
"10";243;166
"717";244;319
"56";245;334
"347";245;279
"41";246;164
"336";246;157
"848";246;191
"121";252;329
"240";252;213
"508";252;273
"672";257;157
"740";258;355
"422";259;313
"560";259;343
"756";259;296
"96";260;199
"804";260;277
"605";261;296
"409";262;291
"377";265;215
"774";267;211
"779";267;284
"877";267;317
"259";269;216
"974";271;210
"855";273;190
"971";273;219
"755";274;185
"885";278;214
"273";280;349
"338";280;262
"450";280;369
"965";282;374
"160";283;266
"780";283;213
"501";284;292
"282";285;385
"353";285;214
"554";285;191
"140";288;365
"399";288;339
"177";289;369
"324";289;316
"583";289;353
"498";290;236
"638";290;216
"202";292;247
"809";295;238
"986";297;223
"14";298;290
"388";298;314
"25";299;299
"674";299;209
"431";300;369
"924";300;371
"989";300;259
"163";302;270
"737";303;231
"781";303;300
"362";304;325
"503";305;249
"427";306;278
"967";306;226
"394";307;365
"504";308;227
"404";309;285
"488";309;228
"350";311;334
"940";311;296
"352";312;361
"463";312;362
"901";312;409
"528";313;300
"826";313;292
"919";313;264
"107";314;391
"748";314;284
"219";316;288
"174";318;247
"218";319;319
"945";320;399
"573";323;253
"417";324;279
"814";325;352
"515";327;292
"759";329;405
"256";331;418
"327";333;349
"1";334;282
"194";334;341
"270";334;257
"172";338;238
"802";338;340
"451";339;278
"584";340;310
"181";342;320
"853";342;369
"325";344;262
"128";346;419
"87";347;419
"701";349;323
"168";351;307
"36";352;387
"640";352;402
"956";353;399
"277";358;309
"349";358;428
"185";363;268
"486";364;443
"319";365;420
"847";365;341
"946";366;397
"155";367;452
"572";367;290
"824";367;421
"926";368;451
"932";368;368
"396";371;410
"900";371;274
"374";372;305
"587";374;367
"296";375;322
"750";375;419
"867";375;465
"943";375;350
"274";376;415
"635";377;349
"156";379;355
"57";381;388
"151";381;349
"59";382;329
"569";382;333
"407";383;398
"275";384;360
"917";384;362
"719";386;350
"813";386;459
"710";387;402
"844";388;480
"854";388;421
"253";390;327
"51";391;296
"791";391;479
"728";393;342
"729";394;403
"923";395;400
"526";396;436
"639";396;461
"548";398;482
"351";399;305
"789";399;376
"902";400;419
"341";402;459
"831";402;495
"303";403;424
"765";403;441
"30";404;458
"541";404;429
"481";406;465
"860";407;491
"723";408;491
"80";409;467
"382";409;319
"8";410;397
"333";410;353
"381";410;411
"964";410;374
"52";412;319
"795";412;380
"512";414;397
"700";414;510
"715";415;506
"927";415;365
"331";416;496
"821";416;359
"933";416;437
"676";417;508
"706";417;351
"260";419;379
"97";420;479
"369";420;353
"697";420;433
"129";422;486
"285";422;453
"668";423;511
"478";424;394
"746";424;465
"806";425;339
"868";426;447
"888";427;471
"893";427;494
"117";430;333
"254";430;334
"811";430;473
"186";432;370
"976";432;438
"890";434;507
"368";435;477
"221";436;398
"314";436;422
"744";436;400
"886";437;405
"17";439;534
"430";439;516
"833";439;397
"73";440;406
"636";440;402
"895";442;447
"678";445;415
"280";446;417
"496";447;467
"598";447;547
"105";448;445
"316";448;547
"328";448;394
"61";450;457
"499";451;406
"666";452;452
"138";453;359
"785";454;357
"375";455;397
"533";456;553
"627";457;481
"733";458;423
"589";461;393
"837";461;378
"491";462;432
"993";462;472
"130";463;459
"743";463;522
"870";463;399
"178";464;485
"505";464;440
"794";464;414
"797";464;473
"337";465;484
"104";466;438
"511";468;538
"360";470;418
"981";471;442
"951";473;477
"214";474;451
"937";474;504
"984";474;501
"212";476;457
"655";476;478
"803";477;531
"16";478;491
"161";478;477
