"";"w";"p"
"1351";1;207
"2036";1;469
"2423";1;615
"4309";1;173
"4432";1;708
"4855";1;881
"186";2;368
"2830";2;534
"3286";2;899
"39";3;220
"1001";3;833
"1212";3;879
"2402";3;90
"2848";3;674
"3908";3;673
"3924";3;316
"4098";3;676
"4754";3;836
"4900";3;177
"4909";3;456
"1228";4;70
"1728";4;90
"2374";4;882
"2476";4;920
"3101";4;797
"3645";4;271
"504";5;773
"942";5;819
"1230";5;893
"1494";5;820
"3819";5;102
"402";6;691
"428";6;723
"1770";6;70
"3214";6;528
"3607";6;86
"4542";6;580
"25";7;368
"1278";7;560
"2603";7;943
"3620";7;860
"4025";7;258
"4699";7;324
"739";8;238
"814";8;187
"2619";8;961
"2784";8;179
"254";9;4
"300";9;856
"594";9;564
"1692";9;884
"1902";9;739
"2249";9;720
"2767";9;400
"62";10;627
"63";10;840
"1013";10;20
"1137";10;680
"1343";10;370
"1834";10;342
"2506";10;935
"3496";10;867
"4494";10;120
"4703";10;594
"1973";11;898
"4173";11;406
"946";12;266
"3376";12;930
"374";13;913
"2466";13;562
"2887";13;450
"3341";13;415
"4270";13;590
"4434";13;327
"137";14;882
"1941";14;185
"1951";14;586
"2919";14;813
"3116";14;541
"4315";14;563
"4654";14;511
"1222";15;913
"1769";15;787
"2705";15;234
"3438";15;363
"3553";15;221
"4797";15;984
"4874";15;532
"612";16;91
"1976";16;433
"225";17;254
"244";17;244
"561";17;202
"1541";17;653
"1893";17;332
"3658";17;814
"682";18;417
"1033";18;997
"1037";18;1000
"1578";18;723
"2609";18;756
"3926";18;504
"509";19;684
"1598";19;679
"1696";19;678
"1865";19;121
"2394";19;284
"3202";19;455
"4410";19;499
"711";20;432
"1211";20;137
"2453";20;937
"3072";20;338
"3867";20;815
"1457";21;263
"3204";21;120
"3899";21;441
"4495";21;998
"1675";22;120
"1774";22;776
"2461";22;848
"3480";22;215
"3901";22;648
"4395";22;528
"4714";22;400
"1712";23;359
"3247";23;944
"3710";23;239
"1661";24;834
"3980";24;761
"1381";25;526
"2425";25;753
"4507";25;452
"4884";25;393
"613";26;380
"658";26;595
"1983";26;864
"2208";26;523
"2250";26;988
"2475";26;485
"3357";26;934
"3367";26;282
"260";27;224
"1366";27;798
"3267";27;612
"72";28;727
"571";28;205
"2758";28;128
"2866";28;991
"3964";28;455
"1015";29;506
"1453";29;233
"1889";29;367
"2090";29;844
"4640";29;533
"4928";29;677
"1105";30;305
"2070";30;55
"3213";30;125
"3228";30;776
"4010";30;377
"1707";31;644
"2813";31;473
"2964";31;878
"3163";31;483
"3366";31;890
"715";32;543
"912";32;140
"1821";32;851
"2212";32;739
"3818";32;753
"4341";32;879
"213";33;156
"599";33;973
"983";33;137
"1816";33;566
"2698";33;858
"2811";33;72
"3399";33;133
"4185";33;304
"4827";33;679
"372";34;480
"393";34;83
"660";34;591
"1029";34;154
"2087";34;455
"2662";34;675
"3631";34;6
"3652";34;699
"160";35;988
"1472";36;437
"1700";36;986
"1997";36;970
"3391";36;83
"16";37;13
"1525";37;192
"2732";37;234
"3648";37;78
"2513";38;66
"3274";38;303
"4275";38;356
"2316";39;478
"3126";39;688
"3887";39;418
"4345";39;547
"4373";39;401
"238";40;141
"239";40;65
"1895";40;965
"3868";40;454
"881";41;320
"1823";41;802
"2664";41;436
"3997";41;464
"257";42;395
"1825";42;738
"2407";42;24
"2429";42;794
"2812";42;226
"3027";42;677
"4559";42;1
"93";43;37
"208";43;846
"578";43;753
"2125";43;34
"3296";43;355
"3321";43;200
"3442";43;390
"2922";44;281
"68";45;503
"2277";45;114
"3727";45;402
"341";46;963
"518";46;571
"2906";46;700
"3137";46;466
"105";47;501
"156";47;807
"1478";47;513
"3485";47;892
"3573";47;795
"3830";47;301
"4613";47;929
"4708";47;937
"4718";47;438
"2269";48;235
"2696";48;305
"3063";48;423
"4731";48;255
"2307";49;36
"1251";50;919
"2847";50;92
"4678";50;210
"218";51;718
"2658";51;874
"2974";51;357
"763";52;27
"843";52;829
"895";52;640
"1167";52;273
"1507";52;259
"4455";52;269
"4711";52;77
"4673";53;624
"4995";53;632
