"";"w";"p"
"27";1;79
"38";2;53
"49";6;88
"8";7;2
"15";8;79
"33";14;47
"55";14;12
"96";16;42
"83";19;2
"41";20;34
"47";20;49
"90";21;24
"97";21;1
"31";22;86
"79";22;111
"48";27;93
"66";27;94
"21";29;26
"67";29;117
"76";29;10
"42";30;31
"62";30;36
"65";30;88
"3";33;7
"13";37;8
"78";38;17
"64";44;140
"68";44;45
"72";44;63
"85";47;105
"22";48;14
"36";48;13
"39";48;105
"59";48;25
"54";49;114
"26";50;137
"45";50;30
"46";50;64
"93";50;94
"98";51;59
"80";52;114
"84";54;69
"18";56;114
"29";56;145
"57";56;123
"95";56;11
"81";57;113
"71";58;149
"94";58;126
"52";61;124
"88";61;11
"7";62;65
"50";62;133
"19";63;76
"6";64;24
"92";64;140
"30";65;4
"74";65;151
"1";66;130
"34";66;17
"87";66;96
"5";67;10
"12";68;39
"61";68;14
"25";70;122
"89";71;17
"63";72;140
"91";72;94
"70";74;16
"17";77;78
"35";77;2
"75";77;174
"11";78;75
"23";78;111
"43";78;38
"14";79;151
"44";80;86
"86";80;90
"9";83;42
"16";84;20
"58";84;70
"77";84;80
"2";85;70
"56";85;111
"73";85;2
"51";87;92
"60";87;153
"4";88;35
"20";88;95
"53";88;154
"28";89;94
"69";89;164
"24";91;163
"37";92;47
"10";94;178
"82";94;54
"99";95;94
"32";96;135
"40";97;130
"100";100;83
