"";"w";"p"
"3";1;29
"9";1;6
"53";1;57
"60";1;74
"65";1;65
"80";1;20
"4";2;47
"10";2;8
"12";2;55
"15";2;52
"16";2;42
"24";2;26
"62";2;10
"69";2;36
"77";2;5
"91";2;9
"11";3;16
"19";3;8
"25";3;45
"45";3;11
"46";3;43
"54";3;1
"79";3;19
"81";3;33
"83";3;34
"85";3;41
"97";3;47
"28";4;80
"49";4;95
"57";4;64
"64";4;62
"67";4;6
"70";4;45
"74";4;58
"75";4;59
"76";4;71
"96";4;10
"1";5;14
"20";5;101
"22";5;53
"30";5;95
"34";5;67
"36";5;71
"39";5;96
"47";5;16
"50";5;27
"73";5;25
"86";5;34
"89";5;27
"99";5;61
"18";6;7
"21";6;7
"29";6;56
"41";6;56
"44";6;76
"2";7;11
"31";7;72
"40";7;15
"51";7;21
"61";7;42
"66";7;87
"5";8;43
"6";8;67
"7";8;8
"8";8;9
"13";8;51
"26";8;41
"27";8;23
"35";8;32
"37";8;18
"52";8;69
"55";8;3
"58";8;69
"59";8;77
"63";8;84
"78";8;97
"82";8;42
"94";8;11
"100";8;37
"17";9;11
"42";9;84
"43";9;102
"48";9;8
"68";9;62
"71";9;50
"72";9;43
"87";9;82
"90";9;29
"14";10;52
"23";10;36
"32";10;91
"33";10;53
"38";10;72
"56";10;16
"84";10;46
"88";10;41
"92";10;73
"93";10;36
"95";10;70
"98";10;103
