"";"w";"p"
"24";1;70
"74";1;4
"92";1;86
"208";1;88
"393";1;97
"415";1;31
"447";1;39
"510";1;22
"630";1;28
"636";1;19
"1026";1;10
"1057";1;29
"1175";1;64
"1529";1;19
"1539";1;87
"2183";1;51
"2192";1;4
"2286";1;23
"2561";1;38
"2603";1;12
"2785";1;88
"2804";1;39
"2844";1;97
"2849";1;28
"3093";1;20
"3280";1;2
"3293";1;27
"3451";1;72
"3499";1;31
"3582";1;61
"3595";1;47
"3718";1;53
"3973";1;61
"3986";1;64
"4195";1;21
"4293";1;92
"4401";1;63
"4421";1;54
"4561";1;40
"4824";1;58
"4900";1;31
"4962";1;67
"4966";1;3
"144";2;33
"170";2;54
"275";2;59
"420";2;71
"537";2;10
"576";2;68
"614";2;53
"642";2;44
"686";2;33
"718";2;1
"741";2;57
"759";2;92
"882";2;16
"1403";2;3
"1419";2;36
"1500";2;19
"1526";2;71
"1575";2;47
"1647";2;47
"1699";2;40
"1716";2;90
"2031";2;28
"2168";2;55
"2367";2;26
"2369";2;90
"2392";2;82
"2569";2;83
"2614";2;47
"2699";2;79
"2738";2;82
"2750";2;1
"2778";2;99
"3002";2;78
"3242";2;73
"3267";2;26
"3274";2;23
"3331";2;16
"3615";2;62
"3672";2;16
"3742";2;64
"3968";2;31
"4224";2;6
"4445";2;100
"4803";2;3
"4892";2;97
"4955";2;19
"6";3;37
"166";3;5
"298";3;48
"303";3;36
"364";3;30
"391";3;49
"438";3;63
"641";3;22
"644";3;30
"782";3;83
"851";3;16
"940";3;25
"985";3;28
"1098";3;37
"1232";3;33
"1258";3;30
"1569";3;11
"1633";3;44
"1903";3;81
"1912";3;51
"1918";3;42
"1960";3;40
"2034";3;7
"2207";3;66
"2256";3;32
"2304";3;23
"2343";3;24
"2433";3;19
"2595";3;11
"2751";3;63
"2884";3;92
"2910";3;14
"2970";3;65
"3169";3;63
"3417";3;28
"3548";3;54
"3677";3;79
"3731";3;22
"3803";3;22
"3826";3;46
"4154";3;28
"4308";3;16
"4366";3;51
"4410";3;20
"4490";3;75
"4514";3;37
"4603";3;18
"4650";3;76
"4733";3;1
"4807";3;66
"4857";3;54
"4872";3;15
"3";4;9
"397";4;26
"516";4;29
"591";4;1
"921";4;83
"962";4;94
"1151";4;53
"1251";4;4
"1428";4;62
"1488";4;9
"1514";4;56
"1619";4;8
"1624";4;55
"1641";4;1
"1659";4;20
"1681";4;37
"1819";4;59
"1932";4;101
"1966";4;76
"2030";4;3
"2096";4;87
"2353";4;70
"2474";4;42
"2565";4;84
"2658";4;16
"2684";4;15
"2961";4;62
"3012";4;14
"3167";4;49
"3180";4;38
"3213";4;77
"3395";4;21
"3542";4;29
"3621";4;33
"3730";4;42
"3853";4;92
"3900";4;39
"4378";4;43
"4387";4;45
"4577";4;1
"4611";4;92
"4788";4;26
"4877";4;49
"4890";4;85
"4914";4;66
"4928";4;100
"132";5;58
"373";5;84
"518";5;53
"747";5;84
"773";5;55
"848";5;105
"926";5;34
"1068";5;35
"1198";5;9
"1404";5;18
"1487";5;35
"1490";5;61
"1504";5;67
"1599";5;41
"1655";5;55
"1673";5;65
"1783";5;45
"1950";5;55
"2018";5;79
"2316";5;96
"2333";5;70
"2348";5;100
"2412";5;56
"2539";5;49
"2907";5;37
"3027";5;103
"3049";5;36
"3140";5;78
"3246";5;66
"3389";5;39
"3462";5;18
"3488";5;31
"3611";5;66
"3657";5;63
"3670";5;26
"3708";5;31
"3776";5;49
"3777";5;15
"3890";5;95
"4001";5;99
"4040";5;64
"4044";5;75
"4104";5;17
"4124";5;18
"4245";5;8
"4248";5;55
"4276";5;73
"4322";5;22
"4533";5;16
"4573";5;59
"4800";5;4
"4823";5;73
"4874";5;87
"4976";5;62
"61";6;11
"107";6;32
"196";6;47
"198";6;34
"233";6;14
"273";6;66
"351";6;70
"376";6;39
"387";6;7
"664";6;28
"710";6;39
"712";6;14
"854";6;76
"904";6;36
"906";6;62
"950";6;5
"966";6;5
"1019";6;17
"1152";6;28
"1222";6;10
"1252";6;61
"1339";6;56
"1470";6;100
"1631";6;34
"1632";6;11
"1675";6;57
"1678";6;83
"1696";6;8
"2005";6;45
"2057";6;40
"2060";6;92
"2080";6;22
"2222";6;52
"2251";6;35
"2689";6;27
"2881";6;106
"2943";6;14
"3302";6;92
"3419";6;52
"3439";6;85
"3537";6;22
"3833";6;55
"3898";6;46
"3917";6;19
"3923";6;46
"3949";6;19
"4118";6;99
"4160";6;16
"4273";6;49
"4466";6;77
"4510";6;32
"4643";6;99
"4735";6;34
"4795";6;10
"4870";6;9
"4881";6;7
"4980";6;88
"4988";6;53
"39";7;28
"162";7;42
"234";7;42
"390";7;7
"394";7;57
"425";7;86
"439";7;66
"455";7;42
"471";7;5
"562";7;103
"697";7;74
"757";7;54
"771";7;1
"830";7;52
"1066";7;46
"1096";7;48
"1182";7;24
"1183";7;21
"1313";7;94
"1394";7;85
"1397";7;11
"1496";7;40
"1598";7;17
"1604";7;39
"1657";7;57
"2246";7;29
"2255";7;80
"2346";7;68
"2508";7;38
"2632";7;16
"2728";7;49
"2837";7;20
"2952";7;94
"2959";7;70
"3076";7;38
"3272";7;89
"3276";7;43
"3373";7;39
"3377";7;73
"3383";7;19
"3449";7;3
"3592";7;21
"3694";7;97
"3728";7;30
"3729";7;84
"3849";7;75
"3880";7;34
"3989";7;20
"4009";7;76
"4140";7;28
"4190";7;55
"4221";7;15
"4317";7;24
"4386";7;1
"4394";7;6
"4557";7;39
"4564";7;34
"4614";7;48
"4805";7;66
"71";8;68
"192";8;61
"408";8;97
"527";8;67
"568";8;105
"796";8;11
"805";8;105
"945";8;43
"948";8;80
"998";8;76
"1077";8;67
"1086";8;35
"1126";8;35
"1387";8;71
"1413";8;27
"1426";8;94
"1682";8;26
"1763";8;58
"1777";8;51
"1852";8;13
"1954";8;36
"1967";8;17
"1968";8;58
"2019";8;23
"2033";8;99
"2100";8;35
"2133";8;15
"2147";8;70
"2396";8;55
"2445";8;73
"2602";8;90
"2811";8;60
