"";"w";"p"
"97";1;38
"138";1;38
"179";1;56
"181";1;46
"321";1;7
"445";1;21
"524";1;19
"540";1;4
"578";1;84
"685";1;87
"43";2;34
"130";2;89
"233";2;36
"338";2;9
"431";2;49
"447";2;85
"572";2;46
"617";2;91
"762";2;12
"868";2;17
"21";3;14
"79";3;52
"463";3;27
"558";3;78
"564";3;32
"608";3;22
"689";3;57
"725";3;26
"854";3;64
"981";3;29
"53";4;50
"99";4;14
"124";4;98
"299";4;23
"330";4;8
"363";4;34
"398";4;91
"414";4;91
"442";4;18
"589";4;61
"38";5;42
"146";5;66
"159";5;7
"217";5;51
"355";5;11
"361";5;49
"466";5;28
"507";5;28
"591";5;104
"626";5;43
"726";5;24
"863";5;38
"893";5;71
"1";6;77
"95";6;72
"192";6;30
"269";6;15
"346";6;55
"582";6;10
"621";6;39
"831";6;83
"942";6;31
"226";7;90
"643";7;55
"701";7;81
"759";7;13
"771";7;28
"797";7;59
"798";7;83
"837";7;9
"879";7;70
"167";8;4
"306";8;101
"337";8;83
"486";8;16
"889";8;43
"126";9;41
"129";9;37
"174";9;26
"203";9;3
"231";9;91
"246";9;32
"416";9;57
"465";9;55
"676";9;26
"719";9;88
"901";9;34
"935";9;39
"1000";9;36
"388";10;27
"488";10;20
"661";10;51
"692";10;41
"730";10;100
"795";10;104
"956";10;15
"991";10;22
"152";11;96
"180";11;29
"389";11;87
"496";11;98
"579";11;4
"163";12;17
"304";12;41
"470";12;53
"475";12;3
"519";12;111
"642";12;35
"711";12;17
"858";12;36
"894";12;79
"932";12;1
"952";12;55
"989";12;15
"76";13;45
"168";13;54
"274";13;31
"517";13;6
"820";13;1
"966";13;58
"979";13;98
"114";14;76
"224";14;63
"258";14;60
"549";14;102
"560";14;7
"677";14;36
"695";14;46
"706";14;38
"753";14;16
"781";14;77
"23";15;28
"113";15;90
"120";15;111
"228";15;10
"438";15;4
"491";15;77
"713";15;61
"878";15;2
"891";15;2
"67";16;60
"87";16;115
"219";16;32
"373";16;57
"435";16;28
"461";16;19
"584";16;48
"606";16;82
"650";16;41
"653";16;22
"774";16;87
"776";16;94
"817";16;53
"930";16;76
"958";16;90
"973";16;86
"46";17;68
"318";17;30
"362";17;70
"443";17;33
"528";17;31
"562";17;31
"884";17;15
"924";17;40
"116";18;92
"165";18;52
"408";18;75
"448";18;69
"520";18;48
"565";18;62
"610";18;6
"686";18;85
"700";18;8
"770";18;61
"789";18;79
"56";19;15
"119";19;24
"284";19;2
"293";19;24
"590";19;45
"697";19;19
"807";19;44
"839";19;68
"191";20;47
"336";20;4
"623";20;50
"749";20;84
"800";20;42
"876";20;33
"902";20;117
"906";20;28
"41";21;120
"166";21;74
"221";21;14
"307";21;116
"319";21;107
"366";21;6
"454";21;23
"602";21;40
"5";22;97
"10";22;99
"223";22;27
"262";22;93
"317";22;34
"449";22;116
"613";22;49
"709";22;25
"765";22;82
"810";22;71
"865";22;48
"886";22;107
"209";23;62
"214";23;8
"249";23;87
"285";23;14
"340";23;16
"371";23;113
"659";23;64
"693";23;32
"57";24;39
"256";24;17
"259";24;70
"300";24;44
"354";24;14
"605";24;25
"644";24;100
"957";24;19
"100";25;112
"137";25;69
"227";25;47
"288";25;83
"397";25;76
"404";25;25
"410";25;93
"670";25;94
"678";25;74
"767";25;28
"775";25;88
"791";25;8
"792";25;26
"838";25;17
"13";26;28
"139";26;107
"222";26;96
"225";26;49
"280";26;14
"595";26;38
"600";26;52
"825";26;22
"985";26;14
"77";27;55
"236";27;12
"421";27;98
"537";27;15
"920";27;90
"931";27;62
"12";28;70
"134";28;121
"400";28;38
"462";28;16
"464";28;92
"502";28;16
"691";28;31
"934";28;27
"66";29;79
"85";29;101
"237";29;23
"349";29;47
"409";29;65
"456";29;65
"541";29;99
"645";29;81
"729";29;27
"850";29;33
"885";29;79
"331";30;9
"353";30;10
"518";30;87
"752";30;108
"784";30;16
"832";30;106
"82";31;24
"118";31;80
"187";31;82
"365";31;76
"648";31;113
"652";31;14
"681";31;88
"738";31;12
"856";31;118
"900";31;17
"909";31;41
"978";31;77
"992";31;125
"47";32;111
"54";32;85
"202";32;29
"241";32;97
"305";32;118
"411";32;18
"429";32;49
"437";32;78
"487";32;68
"571";32;64
"573";32;63
"631";32;32
"939";32;11
"982";32;13
"197";33;4
"378";33;125
"503";33;23
"522";33;53
"556";33;130
"672";33;124
"793";33;122
"803";33;61
"860";33;9
"872";33;4
"926";33;81
"283";34;14
"292";34;45
"405";34;16
"415";34;77
"426";34;8
"529";34;46
"563";34;106
"567";34;110
"639";34;61
"673";34;36
"873";34;53
"905";34;10
"102";35;70
"144";35;18
"189";35;50
"316";35;127
"434";35;104
"550";35;89
"870";35;12
"6";36;61
"9";36;6
"48";36;64
"235";36;27
"247";36;38
"253";36;27
"310";36;118
"505";36;47
"731";36;106
"826";36;134
"855";36;113
"158";37;132
"248";37;101
"264";37;19
"367";37;118
"468";37;20
"557";37;54
"614";37;95
"743";37;66
"923";37;86
"994";37;28
"240";38;130
"243";38;123
"267";38;120
"329";38;69
